"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0569849324668008 0.0646793648352704 0.060745435245565 0.0607277831456027 0.06 70000 0.9993 "1500+/5000-"
"Low prevalence pop" "Low prevalence pop" 0.00960945370180229 0.012757338974335 0.0111564577063229 0.0111801785516801 0.01 70000 0.9993 "1500+/5000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.668491084387402 0.721825597901316 0.696462574646741 0.696339546615193 0.7 70000 0.9993 "1500+/5000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.673663813189063 0.720365648325635 0.696923195456676 0.696773411286807 0.7 70000 0.9993 "1500+/5000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.661620396601488 0.719506845864029 0.690668760512747 0.690451465849141 0.7 70000 0.9993 "1500+/5000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.685896869023551 0.732960834964952 0.709449227547691 0.709473058167774 0.7 70000 0.9993 "1500+/5000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998037982264323 0.999397392787586 0.998749333219252 0.998735176319788 0.9993 70000 0.9993 "1500+/5000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998207085149367 0.99958231576137 0.9989510667319 0.998919706864808 0.9993 70000 0.9993 "1500+/5000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998695019337972 0.999753969800079 0.999267124355634 0.999249434628746 0.9993 70000 0.9993 "1500+/5000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998787259334309 0.999828778084562 0.999353655428093 0.999325966248247 0.9993 70000 0.9993 "1500+/5000-"
"v.efficacy" "v.efficacy" 0.48913186596264 0.611506103003277 0.545970276641674 0.546870424375812 0.6 70000 0.9993 "1500+/5000-"
