"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0497468234839381 0.0616375091096264 0.0555431428054068 0.055599007294301 0.06 40000 0.999 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00644020988568743 0.010744566247813 0.00848840661712462 0.00854815164812316 0.01 40000 0.999 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.648308060196356 0.787490744143001 0.71931446780127 0.719860520082721 0.7 40000 0.999 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.625342979862908 0.734008320559719 0.682346418005002 0.682736436929094 0.7 40000 0.999 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.638527306756272 0.75720978287021 0.691666941872705 0.69268575996552 0.7 40000 0.999 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.660567227308208 0.769915483097956 0.715339643997562 0.715591215292135 0.7 40000 0.999 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998726017931656 0.999999981513112 0.999601851290684 0.999514338892135 0.999 40000 0.999 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997378613327041 0.999914056554858 0.998641514565502 0.99861162371951 0.999 40000 0.999 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.99733935459659 0.999696244992374 0.998575714751811 0.998549723562177 0.999 40000 0.999 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.99763794558901 0.999987867215332 0.998911766168874 0.998842323271271 0.999 40000 0.999 "30+/100-"
"v.efficacy" "v.efficacy" 0.522620829917109 0.751078942560479 0.632661789760903 0.634921415700576 0.6 40000 0.999 "30+/100-"
