"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0584070837025731 0.0663380306995441 0.0622434600867946 0.0622311067922211 0.06 1e+05 0.9993 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.0088874492869744 0.0120071728683663 0.0104774947885663 0.0104846224228175 0.01 1e+05 0.9993 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.656440760093561 0.749840703993679 0.703636924219783 0.703438144543249 0.7 1e+05 0.9993 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.631854392717213 0.694166493419674 0.664223228987209 0.664925148604119 0.7 1e+05 0.9993 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.637215149042669 0.720701558374159 0.677816567912125 0.678518988532452 0.7 1e+05 0.9993 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.660492246303829 0.731636971427214 0.696617871379717 0.696506522737218 0.7 1e+05 0.9993 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998990999232115 0.999999970832237 0.999573204647185 0.99953220953243 0.9993 1e+05 0.9993 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997960653489712 0.99979319520911 0.998890566023808 0.99888384966073 0.9993 1e+05 0.9993 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998192657103722 0.999672110958398 0.998933801329866 0.998925285647199 0.9993 1e+05 0.9993 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998803532595303 0.999999651010475 0.999522927075887 0.999466775439909 0.9993 1e+05 0.9993 "30+/100-"
"v.efficacy" "v.efficacy" 0.486357814622646 0.611600780984839 0.547766812227423 0.548130999965122 0.6 1e+05 0.9993 "30+/100-"
