"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0508275404202899 0.0625739268518296 0.0566419048482366 0.0566855418984598 0.06 30000 0.9998 "300+/1000-"
"Low prevalence pop" "Low prevalence pop" 0.00620594915181007 0.0103179891079985 0.00816696866753794 0.00818447828199575 0.01 30000 0.9998 "300+/1000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.652807156730452 0.750431760882158 0.700870428650002 0.70134153597247 0.7 30000 0.9998 "300+/1000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.675560724661216 0.757712655129487 0.716016552072629 0.715903919732302 0.7 30000 0.9998 "300+/1000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.613417333874573 0.716289143810061 0.665285334053697 0.66510248154936 0.7 30000 0.9998 "300+/1000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.701971110821339 0.788220979968194 0.743821193925105 0.744078366591975 0.7 30000 0.9998 "300+/1000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998780544179991 0.999999734024531 0.999560830722818 0.999493687531641 0.9998 30000 0.9998 "300+/1000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998028476723057 0.999997910737313 0.999112699672965 0.999058768176576 0.9998 30000 0.9998 "300+/1000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999035294226893 0.999984907737883 0.999606296883287 0.999556276124794 0.9998 30000 0.9998 "300+/1000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998923107059511 0.999999810904783 0.999690898538042 0.999605421002432 0.9998 30000 0.9998 "300+/1000-"
"v.efficacy" "v.efficacy" 0.486550350132371 0.692408944876762 0.588844815154496 0.590518665870441 0.6 30000 0.9998 "300+/1000-"
