"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0555249271066481 0.0624895267223232 0.0589725704077489 0.0590171479686139 0.06
"Low prevalence pop" "Low prevalence pop" 0.00797466464618098 0.0108362790018111 0.00942545387345786 0.00943766917112988 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.647470794097242 0.722172018319557 0.683571280055939 0.683487538480627 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.677880535568223 0.732955779490241 0.705874123570615 0.705785150349242 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.640986426901197 0.721773721472497 0.68127232060617 0.681338175636436 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.694550700828085 0.751923168390528 0.723678802303061 0.723748955928831 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998398201629024 0.999820243336251 0.999093225381609 0.999080011076348 0.9993
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998187784167334 0.999674343585276 0.99892557111054 0.998919683908931 0.9993
"SpStd vaccine pop" "SpStd vaccine pop" 0.998739377876507 0.999950759538383 0.999355591339603 0.999337221815398 0.9993
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998377973854477 0.999783773106032 0.999124265867281 0.999098185244444 0.9993
"v.efficacy" "v.efficacy" 0.544537791962833 0.678106409308892 0.611656069329196 0.611679511571247 0.6
