"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0569393250715337 0.0650001369146931 0.0607833790272821 0.0608505857507201 0.06 80000 0.9996 "300+/1000-"
"Low prevalence pop" "Low prevalence pop" 0.00816467331836455 0.0112899261057392 0.00966552392100702 0.0096948118778586 0.01 80000 0.9996 "300+/1000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.666881296229667 0.736195674382928 0.701069979055235 0.700990335485601 0.7 80000 0.9996 "300+/1000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.684547941685535 0.750385246234514 0.71625660497412 0.716290232084416 0.7 80000 0.9996 "300+/1000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.659113979708483 0.73928800739088 0.697947168376462 0.698171700344961 0.7 80000 0.9996 "300+/1000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.676269515426002 0.735594082404878 0.706975357814043 0.706851034296663 0.7 80000 0.9996 "300+/1000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998941449699148 0.999998907550135 0.999547230577633 0.999506185839379 0.9996 80000 0.9996 "300+/1000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998860052810691 0.999999938017222 0.999553014460713 0.999500846786824 0.9996 80000 0.9996 "300+/1000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999395396789398 0.999999998410975 0.999821758322002 0.999773043173811 0.9996 80000 0.9996 "300+/1000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998196274023221 0.999875719519965 0.999070833861513 0.999049519036601 0.9996 80000 0.9996 "300+/1000-"
"v.efficacy" "v.efficacy" 0.509653629642289 0.632401098960088 0.57370610832391 0.573834120287667 0.6 80000 0.9996 "300+/1000-"
