"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0536277438385457 0.0613965370560287 0.0575500844549429 0.0575711773305755 0.06 1e+05 0.9991 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00751960452865515 0.0105458204500272 0.00888793236563552 0.00893081352442904 0.01 1e+05 0.9991 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.666074851017822 0.753885180280227 0.709490233043515 0.709997188504911 0.7 1e+05 0.9991 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.695739972173445 0.765168099646852 0.729480491749575 0.729663196778401 0.7 1e+05 0.9991 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.676590516107461 0.771218209897242 0.723414199604296 0.72363519473793 0.7 1e+05 0.9991 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.677464106621233 0.745009854773274 0.711493459143725 0.711341399872739 0.7 1e+05 0.9991 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.997986994780906 0.999510765714635 0.99877628428926 0.998763962342615 0.9991 1e+05 0.9991 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997925556078145 0.999717920450341 0.99880096511771 0.998799650337915 0.9991 1e+05 0.9991 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.99822463213392 0.999627438593649 0.998936735973934 0.998922301765183 0.9991 1e+05 0.9991 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997593819147206 0.999387291023393 0.998484542624711 0.998477056035779 0.9991 1e+05 0.9991 "30+/100-"
"v.efficacy" "v.efficacy" 0.524389399017918 0.66097327748434 0.591128328415093 0.591638310186562 0.6 1e+05 0.9991 "30+/100-"
