"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0521048757924486 0.0611489911452961 0.0567318044191999 0.0567830012048086 0.06 50000 0.9999 "1500+/5000-"
"Low prevalence pop" "Low prevalence pop" 0.00789377159709129 0.0112101911278736 0.00950970483227768 0.00954983061839826 0.01 50000 0.9999 "1500+/5000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.668735426219914 0.722376865036943 0.695217786417261 0.695071339983174 0.7 50000 0.9999 "1500+/5000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.667173775388979 0.71840499097261 0.69417728314971 0.694047993502665 0.7 50000 0.9999 "1500+/5000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.683846338429286 0.740040201301033 0.711311486471777 0.711067715007947 0.7 50000 0.9999 "1500+/5000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.664223471244044 0.718234733120918 0.690930722230934 0.690749796860861 0.7 50000 0.9999 "1500+/5000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999255036423884 0.999999985235529 0.999765251312809 0.999711354921562 0.9999 50000 0.9999 "1500+/5000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998564431345053 0.999948521991337 0.999318906147758 0.999272447666098 0.9999 50000 0.9999 "1500+/5000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999299548006461 0.999999947937237 0.999771716311633 0.999723299699179 0.9999 50000 0.9999 "1500+/5000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999310573500757 0.999999984121959 0.999797940709811 0.999741703348902 0.9999 50000 0.9999 "1500+/5000-"
"v.efficacy" "v.efficacy" 0.539814516911443 0.700300152438822 0.616312039753428 0.617337166471755 0.6 50000 0.9999 "1500+/5000-"
