"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0564196778998864 0.0663660340556329 0.0611091556568319 0.0611049927720443 0.06 50000 0.9995 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00829698781926739 0.0119472220541242 0.0100731173327372 0.0100838473967669 0.01 50000 0.9995 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.649724237713388 0.7605497697617 0.702153605705439 0.702976020037582 0.7 50000 0.9995 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.670644180349024 0.754079655516 0.712451086727652 0.712711405507226 0.7 50000 0.9995 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.675016873457604 0.790045531763566 0.731184965958891 0.731983409790634 0.7 50000 0.9995 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.678753092797501 0.756731025285375 0.717466256267511 0.717971539702966 0.7 50000 0.9995 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998438471360845 0.99999945084147 0.999306442688325 0.999253704609325 0.9995 50000 0.9995 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.99864081851848 0.999999544043281 0.999517072374932 0.999437865288132 0.9995 50000 0.9995 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998464212307672 0.999999340226292 0.999298216244258 0.99925678381224 0.9995 50000 0.9995 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998494502600901 0.999999365519365 0.999448190569024 0.999365082813122 0.9995 50000 0.9995 "30+/100-"
"v.efficacy" "v.efficacy" 0.50441176375964 0.674675005961134 0.584366713205813 0.585050550164921 0.6 50000 0.9995 "30+/100-"
