"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.057472053776322 0.0612924884924072 0.0594923596433497 0.0595014392939002 0.06
"Low prevalence pop" "Low prevalence pop" 0.00910207239531237 0.0105846228280114 0.00979425785448764 0.00980256772658585 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.68352143295047 0.721798116893393 0.703435912386891 0.703236831208626 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.673235060229082 0.706188493084335 0.689698472573893 0.689699400547144 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.686050189662951 0.723889127910952 0.704938189140506 0.705011562499126 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.680680968788348 0.71312555539049 0.696719851538367 0.696790044560598 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998219202823449 0.99897484346266 0.998589527609459 0.998590140079111 0.9987
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998361196011557 0.999241041296966 0.99881047638925 0.998806617701227 0.9987
"SpStd vaccine pop" "SpStd vaccine pop" 0.998290942612749 0.999080522695279 0.998697889895425 0.998694604014314 0.9987
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998241575118986 0.999117146882598 0.998671475810252 0.998674258681276 0.9987
"v.efficacy" "v.efficacy" 0.702511221006626 0.777507321710167 0.739471670838587 0.739688236302821 0.75
