"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0570006551020009 0.0664752637172367 0.0615154256671766 0.0615653577597661 0.06
"Low prevalence pop" "Low prevalence pop" 0.00889799486862524 0.0127556472123357 0.0107315474924986 0.0107907405874347 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.767312402714621 0.864276982121732 0.814618514194298 0.814420267958812 0.85
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.838506929884555 0.908177921438434 0.872199453111579 0.872162923459534 0.85
"SeStd vaccine pop" "SeStd vaccine pop" 0.785149032543194 0.889191798407069 0.837467851457106 0.837821331067688 0.85
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.835807549085115 0.905829952579765 0.870609387728252 0.87037071400552 0.85
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.997679817457357 0.999768615006951 0.998762147121824 0.998730184893781 0.999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997737338697089 0.999942135290167 0.998912551712031 0.998892418041429 0.999
"SpStd vaccine pop" "SpStd vaccine pop" 0.998785305558333 1.00053942052902 0.999702997779308 0.99967158607726 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.99766640679721 0.99986582632445 0.998811292037305 0.998791144796109 0.999
"v.efficacy" "v.efficacy" 0.537504299450762 0.703784038991417 0.618269399873202 0.618512550275161 0.6
