"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0560737727383929 0.0645881142110366 0.0602061412395253 0.0602495845052767 0.06 80000 0.999 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00793310321175491 0.0113968831015216 0.0096850148455868 0.00971733073770526 0.01 80000 0.999 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.658356107870699 0.758117977606972 0.707286450898868 0.708044250020998 0.7 80000 0.999 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.678869991453628 0.753731882409588 0.715305648387272 0.715646804496163 0.7 80000 0.999 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.636235529102376 0.734469777414626 0.68602328789881 0.686355968779128 0.7 80000 0.999 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.681733446865941 0.758937105716856 0.719192055802547 0.719508876720769 0.7 80000 0.999 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998604198414394 0.999993292617961 0.999319235213997 0.999291737949299 0.999 80000 0.999 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997527448652727 0.999596029856797 0.998600224359277 0.9986005733845 0.999 80000 0.999 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998388785035428 0.999897047639922 0.999189866603473 0.999159775861543 0.999 80000 0.999 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997665712744873 0.99969200749784 0.998703744151845 0.998685418916988 0.999 80000 0.999 "30+/100-"
"v.efficacy" "v.efficacy" 0.510253674578342 0.660847386337021 0.586289986677524 0.587186952502806 0.6 80000 0.999 "30+/100-"
