"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0544352696692273 0.0655197241876716 0.0601352738012814 0.0601843150628359 0.06 40000 0.9995 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00626359240038963 0.00991214898651793 0.00803062374793433 0.00806557986410935 0.01 40000 0.9995 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.654138927508062 0.773156848775852 0.717345110672942 0.717298853133588 0.7 40000 0.9995 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.670520646528421 0.755881477411702 0.714001469820848 0.714107625463324 0.7 40000 0.9995 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.636988858431685 0.763317501804421 0.69929426824016 0.700254866541296 0.7 40000 0.9995 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.684019578302369 0.784384434445773 0.732036570513829 0.732410962199998 0.7 40000 0.9995 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998179423203044 0.999997174948538 0.999138081213304 0.999090144419221 0.9995 40000 0.9995 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997216643159378 0.999745853492633 0.998495362337382 0.998462164006244 0.9995 40000 0.9995 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998574235840546 0.999999863018747 0.999432834112602 0.999370133077273 0.9995 40000 0.9995 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.99892592558372 0.999999912008146 0.999686472835192 0.999601551561898 0.9995 40000 0.9995 "30+/100-"
"v.efficacy" "v.efficacy" 0.499281347516194 0.697277272004859 0.600564401248564 0.602614860908477 0.6 40000 0.9995 "30+/100-"
