"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0581163311833358 0.0659089986673331 0.0617704275403682 0.0617664701006028 0.06
"Low prevalence pop" "Low prevalence pop" 0.00834869185768205 0.0116718175055226 0.00997307467971836 0.0100021331181743 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.651054991850645 0.737067291465204 0.696712725656131 0.696591556795139 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.671686638371351 0.737340797456955 0.703441178846541 0.703504369560468 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.665614913680157 0.7493419460349 0.70875126113391 0.708810128077812 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.659008446548974 0.722970642170576 0.691787385200515 0.691791623370349 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999123615118241 1.00037787860222 0.999765924491131 0.999758616695309 0.9999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.999080745457437 1.00075291637178 0.999917004967491 0.999922335972878 0.9999
"SpStd vaccine pop" "SpStd vaccine pop" 0.998722901086976 1.00011599199566 0.999424719462495 0.999419222944313 0.9999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998873817903773 1.00049055593773 0.999751881724327 0.999737270609328 0.9999
"v.efficacy" "v.efficacy" 0.524004315712913 0.653308541010769 0.58556317440619 0.586770097496149 0.6
