"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0527817250072111 0.0651489951128115 0.0589087140440446 0.058913022475469 0.06 30000 0.999 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00760942535520555 0.0125246008304427 0.00988153164285908 0.0099134289364053 0.01 30000 0.999 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.625366319698202 0.778217498340125 0.697398121199235 0.698893965682966 0.7 30000 0.999 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.637523147141353 0.745642401850634 0.696573492854176 0.696062067225301 0.7 30000 0.999 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.611664890632471 0.798055831553689 0.707872451154956 0.708465097569429 0.7 30000 0.999 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.666366695870042 0.781243958635358 0.724565669849917 0.724672570592891 0.7 30000 0.999 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.996208245541159 0.999401249727044 0.997904743891759 0.997875156920822 0.999 30000 0.999 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997452560596739 0.999999654786577 0.998844717885494 0.998777310801925 0.999 30000 0.999 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998111773788741 0.999993334903217 0.999219064048604 0.999147649504243 0.999 30000 0.999 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998072001971742 0.999999926986113 0.999316707409946 0.999196045753828 0.999 30000 0.999 "30+/100-"
"v.efficacy" "v.efficacy" 0.42089344722725 0.658039557282461 0.538836408538574 0.541164205319123 0.6 30000 0.999 "30+/100-"
