"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.052936961644473 0.0617841186576417 0.0575432579290837 0.0575457698901611 0.06 50000 0.9997 "1500+/5000-"
"Low prevalence pop" "Low prevalence pop" 0.00829479813038829 0.0116274626532905 0.00992298029037994 0.00994585216357729 0.01 50000 0.9997 "1500+/5000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.671896088063322 0.726966878282745 0.700267091147386 0.700138901268011 0.7 50000 0.9997 "1500+/5000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.657607105844356 0.706813511884463 0.681708746567785 0.681615459911275 0.7 50000 0.9997 "1500+/5000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.675834535531624 0.730966979825175 0.704671362416313 0.704586463249777 0.7 50000 0.9997 "1500+/5000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.647204213172497 0.698942052445909 0.673214104557592 0.67323576198476 0.7 50000 0.9997 "1500+/5000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998964301115166 0.999898453006943 0.999487501441298 0.999459064611772 0.9997 50000 0.9997 "1500+/5000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.99896512103609 0.999999563114206 0.999659246326779 0.999586255248694 0.9997 50000 0.9997 "1500+/5000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999261112948931 0.999988762705087 0.999680343410328 0.999647502418706 0.9997 50000 0.9997 "1500+/5000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999255743161317 0.999983756708868 0.999711358449585 0.999672561772217 0.9997 50000 0.9997 "1500+/5000-"
"v.efficacy" "v.efficacy" 0.499950381888662 0.649952818746954 0.577845479985286 0.578637566799454 0.6 50000 0.9997 "1500+/5000-"
