"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0563422395073721 0.0641175299297071 0.0601706911383834 0.0602068945861403 0.06 80000 0.9999 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.0075681084637782 0.0104173298170148 0.00898346293978176 0.00899032438119356 0.01 80000 0.9999 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.687257426508842 0.766592634236179 0.726436361602612 0.72671618407079 0.7 80000 0.9999 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.686470529575195 0.757313942861384 0.722982604151867 0.723147781668374 0.7 80000 0.9999 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.659737634399124 0.740876222061023 0.699701078542836 0.700022543399734 0.7 80000 0.9999 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.688818699451264 0.750245817240065 0.719199053266799 0.719572863565461 0.7 80000 0.9999 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999287536832364 0.999999978238975 0.99978189031151 0.9997297429033 0.9999 80000 0.9999 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.99902828773397 0.99999968141513 0.999650382843746 0.999595007991404 0.9999 80000 0.9999 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999393653160101 0.999999773822382 0.999813235107382 0.999766641055617 0.9999 80000 0.9999 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998359083352594 0.999971711474276 0.999192867911694 0.999161132391232 0.9999 80000 0.9999 "30+/100-"
"v.efficacy" "v.efficacy" 0.503268397286236 0.627940006813746 0.56583762465408 0.566126859215211 0.6 80000 0.9999 "30+/100-"
