"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0547104104470225 0.0618549864255313 0.0581950520869311 0.0582171479173785 0.06 80000 0.9997 "1500+/5000-"
"Low prevalence pop" "Low prevalence pop" 0.0083082340586311 0.0110600682370751 0.00972690881720243 0.00973137182088264 0.01 80000 0.9997 "1500+/5000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.674582835768127 0.725136143583963 0.700452451132896 0.70022803279246 0.7 80000 0.9997 "1500+/5000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.667323570030299 0.712125140691033 0.689211365046407 0.689182468256945 0.7 80000 0.9997 "1500+/5000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.675545507154613 0.727821428305902 0.702356241463999 0.702101534046078 0.7 80000 0.9997 "1500+/5000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.684889781389435 0.732909754508472 0.709972635038948 0.709781708675384 0.7 80000 0.9997 "1500+/5000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999015223777717 0.999858737584373 0.999490003613302 0.999468558050218 0.9997 80000 0.9997 "1500+/5000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998557439341706 0.999843328483615 0.999228364657303 0.999213126258163 0.9997 80000 0.9997 "1500+/5000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999253471679179 0.999978058908725 0.999671584229322 0.999642363049837 0.9997 80000 0.9997 "1500+/5000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999297601231867 0.999999942150028 0.999776702723906 0.999724231838624 0.9997 80000 0.9997 "1500+/5000-"
"v.efficacy" "v.efficacy" 0.542478704373982 0.668164776935598 0.605058422300383 0.605856672926442 0.6 80000 0.9997 "1500+/5000-"
