"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0527213342830851 0.0609344240212637 0.0569382231278202 0.0568915121472089 0.06 90000 0.999 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00770593911993583 0.0110362262574459 0.00934375760532312 0.00938315521496829 0.01 90000 0.999 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.652821674657762 0.751051841412896 0.704492806729169 0.703874559236856 0.7 90000 0.999 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.671059728881337 0.749888037759007 0.711386779686233 0.711313324895555 0.7 90000 0.999 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.662848594560074 0.76738024030102 0.715356935427461 0.715582118464189 0.7 90000 0.999 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.645835590227941 0.717062954680069 0.682058311822042 0.682392933805899 0.7 90000 0.999 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.997546652267561 0.999272286512191 0.998439774760769 0.998428610543118 0.999 90000 0.999 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998298492270425 0.999994635816603 0.999179787087118 0.99913900265354 0.999 90000 0.999 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.99808487090104 0.999662447237174 0.998889686966946 0.99888114853039 0.999 90000 0.999 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997779498435709 0.999691781442742 0.998728456250272 0.998719431157908 0.999 90000 0.999 "30+/100-"
"v.efficacy" "v.efficacy" 0.510039819696694 0.65961946146035 0.579213267316512 0.581354115912768 0.6 90000 0.999 "30+/100-"
