"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.057138124875318 0.0654433041549225 0.0612386786146161 0.0612504521037649 0.06 1e+05 0.999 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.0098119746989879 0.0132188166708039 0.0114837293814786 0.0114997606536032 0.01 1e+05 0.999 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.622041900194361 0.700161135919102 0.660436342793476 0.661217338291858 0.7 1e+05 0.999 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.646440631587321 0.719168194549591 0.681348933230633 0.681700875022521 0.7 1e+05 0.999 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.642981489517466 0.739172387535822 0.689264297335505 0.690136853624315 0.7 1e+05 0.999 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.663114703095096 0.725582170201791 0.692398452527614 0.693073856535832 0.7 1e+05 0.999 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998262884686939 0.999860250286312 0.999061459390969 0.999044749794009 0.999 1e+05 0.999 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998775586150202 0.999999644674865 0.999514209638737 0.999455803149779 0.999 1e+05 0.999 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999104839744198 0.999999993002229 0.999690151123451 0.999635675363941 0.999 1e+05 0.999 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997914735769354 0.999907566395698 0.998903806163675 0.998887161343731 0.999 1e+05 0.999 "30+/100-"
"v.efficacy" "v.efficacy" 0.539453749722692 0.680185484934212 0.611710401797911 0.611991580427599 0.6 1e+05 0.999 "30+/100-"
