"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0471507971395626 0.0717732377750625 0.0589437826343302 0.0590741839388209 0.06
"Low prevalence pop" "Low prevalence pop" 0.00682867153851953 0.015376456052686 0.0108722432864828 0.0109822266192713 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.66807869926643 0.988468400914529 0.815420546736059 0.816696973236795 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.603031396523552 0.819615139104998 0.705913418210295 0.707904076230591 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.564123244505121 0.828690250482469 0.693293207054066 0.696352468147367 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.533035060805261 0.737791778870745 0.637286112941657 0.638745155723715 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.996430936099985 0.999998873055226 0.998848566262685 0.998597672779353 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.995596236999344 0.999999590725911 0.998440632065716 0.998183479966723 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.993520257239186 0.999196463673765 0.996494297032676 0.996414034772289 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.995962686403668 0.999997659929415 0.998612171057312 0.998366674530412 0.999
"v.efficacy" "v.efficacy" 0.34463095557109 0.758730534176622 0.549474028891669 0.558349165438331 0.6
