"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0545167921961831 0.062433716526031 0.0586488129666466 0.058641808687134 0.06 80000 0.9995 "300+/1000-"
"Low prevalence pop" "Low prevalence pop" 0.00835309307926549 0.0114536575466228 0.00988282783020036 0.00988668090910356 0.01 80000 0.9995 "300+/1000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.662617299823971 0.740374388469713 0.700959632868091 0.701208698349174 0.7 80000 0.9995 "300+/1000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.655816643375108 0.718054376886571 0.684862540135447 0.684809578650794 0.7 80000 0.9995 "300+/1000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.668118573234157 0.74598965390364 0.706807508040653 0.706528937220976 0.7 80000 0.9995 "300+/1000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.676302949285605 0.743296441713493 0.707556923809006 0.707931941451793 0.7 80000 0.9995 "300+/1000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998683613284736 0.999845924491427 0.999306978489147 0.999280995446652 0.9995 80000 0.9995 "300+/1000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998247854353396 0.999926876703495 0.999117290802008 0.999096930366582 0.9995 80000 0.9995 "300+/1000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998669536692043 0.999890248654438 0.999288316073241 0.999264310311083 0.9995 80000 0.9995 "300+/1000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998875454041935 0.999999936721606 0.999590392620768 0.999528429915104 0.9995 80000 0.9995 "300+/1000-"
"v.efficacy" "v.efficacy" 0.536472321969043 0.673878220239439 0.601094405300606 0.601371584843588 0.6 80000 0.9995 "300+/1000-"
