"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0575515693693101 0.0657960283353436 0.061637837440384 0.0616822779975982 0.06 60000 0.9998 "1500+/5000-"
"Low prevalence pop" "Low prevalence pop" 0.00912263119020067 0.0119940083172544 0.010557648102974 0.0105637100379369 0.01 60000 0.9998 "1500+/5000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.690243627358321 0.745085395531558 0.717716783837483 0.71776585004999 0.7 60000 0.9998 "1500+/5000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.689873111987365 0.736295452104029 0.713571771318236 0.713521589557131 0.7 60000 0.9998 "1500+/5000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.677486076338635 0.730652199547623 0.704081605308 0.703781165681335 0.7 60000 0.9998 "1500+/5000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.713688936552507 0.758399387716642 0.736310154089091 0.736194332164818 0.7 60000 0.9998 "1500+/5000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.99926500439829 0.99999996981684 0.999739443385209 0.999694078022577 0.9998 60000 0.9998 "1500+/5000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.999448138399173 0.999999957583742 0.999853949819319 0.999804273267448 0.9998 60000 0.9998 "1500+/5000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998904544117792 0.999911583246188 0.999468628644628 0.999437735179175 0.9998 60000 0.9998 "1500+/5000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999319003729936 0.999999983086168 0.99980572166136 0.999750400846266 0.9998 60000 0.9998 "1500+/5000-"
"v.efficacy" "v.efficacy" 0.478129012793361 0.603887888199733 0.540833271691045 0.541834025462514 0.6 60000 0.9998 "1500+/5000-"
