"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0578800772032818 0.0655808207153851 0.0615894011525622 0.0616308934917104 0.06 1e+05 0.9996 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00869419876145938 0.0118472596404502 0.0101229626195428 0.0101478611578299 0.01 1e+05 0.9996 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.656959279005334 0.747327815713428 0.70385808944224 0.703127348583545 0.7 1e+05 0.9996 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.640185748070589 0.699817344083219 0.669570032543374 0.669423191780662 0.7 1e+05 0.9996 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.643819402149856 0.724896976789039 0.682953309726934 0.683560626921558 0.7 1e+05 0.9996 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.665213707142509 0.735573390213329 0.701017061998457 0.700922848703366 0.7 1e+05 0.9996 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999126390609316 0.999999906011954 0.999666592387504 0.99962355542143 0.9996 1e+05 0.9996 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.99812123325027 0.999876507465299 0.999004684885415 0.998985470547693 0.9996 1e+05 0.9996 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998438031567332 0.999789783459687 0.999146733852886 0.999133462838229 0.9996 1e+05 0.9996 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999016205411456 0.999999743408778 0.999678276031939 0.999608896005458 0.9996 1e+05 0.9996 "30+/100-"
"v.efficacy" "v.efficacy" 0.4952402656455 0.61522361903589 0.551931383257648 0.552435304383166 0.6 1e+05 0.9996 "30+/100-"
