"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0544175011587558 0.0627744759429204 0.0582294598426219 0.0582784048992034 0.06
"Low prevalence pop" "Low prevalence pop" 0.00803453283242808 0.0114987739050754 0.00980301839032054 0.00981046962442092 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.668269851659065 0.769497525803873 0.717779896140463 0.71841977300421 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.6650583048327 0.738591370150614 0.700074103424634 0.70005184739601 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.676145636743968 0.775985869261117 0.725520873774397 0.725679247670926 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.67518617177422 0.747613632495889 0.709693418667587 0.710051458485732 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.998269584365322 0.999734385468151 0.999008885596946 0.998997258965118 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997722997588025 0.999662111046574 0.998692443080063 0.998681957908136 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.998160404593904 0.999667085042584 0.998959575658231 0.998936389794476 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.997874680074495 0.999791271382453 0.998821709439928 0.998806962576178 0.999
"v.efficacy" "v.efficacy" 0.469686673838829 0.601780658306009 0.531289455891055 0.532097732916243 0.6
