"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0567217641688613 0.0644250356089962 0.0602635923291288 0.0603051793215724 0.06
"Low prevalence pop" "Low prevalence pop" 0.00855381869412435 0.0116237389447188 0.0100776163948208 0.0100864754316989 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.673576621927815 0.725368768278013 0.700630263236311 0.700611826966512 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.677895248662137 0.725488469213417 0.701134820840214 0.701101670994029 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.688877287521232 0.743180494670245 0.715735870991175 0.71533593831183 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.674928697388555 0.721447692025493 0.696437987820486 0.696553336291066 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.99839763926327 0.999630026845865 0.99904648946691 0.999026211506612 0.9996
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.999114193305779 0.999971817499572 0.999621488937908 0.999585765354789 0.9996
"SpStd vaccine pop" "SpStd vaccine pop" 0.998937373123851 0.999930865546323 0.999461208202783 0.999440205934705 0.9996
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.99844542217753 0.999755484533547 0.99916965986159 0.99913580882589 0.9996
"v.efficacy" "v.efficacy" 0.519547957394714 0.647970779596977 0.580654649463475 0.581918118865634 0.6
