"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0536882290048437 0.0632900855123495 0.0584872744345322 0.0585173360470637 0.06 40000 0.9998 "1500+/5000-"
"Low prevalence pop" "Low prevalence pop" 0.00934164000206535 0.0133042776785051 0.011195786275314 0.0112336769877249 0.01 40000 0.9998 "1500+/5000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.667014725780801 0.726081567772005 0.696683839699695 0.696613919647801 0.7 40000 0.9998 "1500+/5000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.662796239357408 0.716448372806564 0.689620038056392 0.689274001277745 0.7 40000 0.9998 "1500+/5000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.663557586137375 0.721810583647693 0.693060271620441 0.693028245370083 0.7 40000 0.9998 "1500+/5000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.670665390391008 0.722894064248215 0.696607457122212 0.696463919785281 0.7 40000 0.9998 "1500+/5000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998815274096233 0.999940895858891 0.99945286754771 0.999412420538795 0.9998 40000 0.9998 "1500+/5000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998927871178911 0.999974821858155 0.999561829026326 0.999508835075748 0.9998 40000 0.9998 "1500+/5000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.99878280272905 0.999999844935583 0.999493107268871 0.999447744243403 0.9998 40000 0.9998 "1500+/5000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999100031626062 0.999999990998166 0.999752925773029 0.999674669731384 0.9998 40000 0.9998 "1500+/5000-"
"v.efficacy" "v.efficacy" 0.521840013887914 0.692301031198561 0.609219072919328 0.609796096190428 0.6 40000 0.9998 "1500+/5000-"
