"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0534994717986927 0.0637814634634271 0.0588408629474634 0.0588163917801233 0.06 50000 0.9991 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00866614477888226 0.0127490979114104 0.0107218189911361 0.0107452313109499 0.01 50000 0.9991 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.667038615053518 0.796925224184995 0.733441123414215 0.733847102366861 0.7 50000 0.9991 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.633264833520959 0.714630597556969 0.672222296983501 0.672424120225422 0.7 50000 0.9991 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.64018988626061 0.753090935560251 0.695256378134038 0.696673305947059 0.7 50000 0.9991 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.610549049533565 0.707807027162905 0.658894597970175 0.658872610863703 0.7 50000 0.9991 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998653913743107 0.999999616655303 0.999444008468578 0.999390671955393 0.9991 50000 0.9991 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997903676111 0.999998740321525 0.999034491058052 0.99897629148413 0.9991 50000 0.9991 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.997772952186328 0.999851868367109 0.998832479450669 0.998801730233388 0.9991 50000 0.9991 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998980885982271 0.999999761905267 0.999702174866415 0.999626500248709 0.9991 50000 0.9991 "30+/100-"
"v.efficacy" "v.efficacy" 0.476135566177802 0.656357956612448 0.561080840666321 0.56185377977573 0.6 50000 0.9991 "30+/100-"
