"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0478048092392172 0.0784078204932537 0.0623347225355143 0.0627646783984849 0.06
"Low prevalence pop" "Low prevalence pop" 0.00651640481479219 0.0202452082824815 0.0123533823351228 0.0128409792452253 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.610279382795106 0.885842846429158 0.751758155080428 0.75202191510604 0.7
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.535885258404078 0.802934638390309 0.671130965027562 0.671501144472442 0.7
"SeStd vaccine pop" "SeStd vaccine pop" 0.55871590330091 0.833115091905375 0.688462171661464 0.68985789521078 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.488316035749347 0.728271352594516 0.604706876415951 0.603783144781352 0.7
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.995685416048289 1.0022080315643 0.999324575155016 0.999218366895129 0.999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.996026836597256 1.00380593535521 0.99973123322927 0.99970247385654 0.999
"SpStd vaccine pop" "SpStd vaccine pop" 0.995835008181636 1.00142050737432 0.998814125456924 0.998724470351859 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.994177215665046 1.00197711822346 0.998127045144674 0.998110081033069 0.999
"v.efficacy" "v.efficacy" 0.497954687560183 0.9843308720487 0.71483163014281 0.716731985082808 0.75
