"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0578974201874696 0.0609343622789206 0.0594622343498339 0.0594722688786086 0.06
"Low prevalence pop" "Low prevalence pop" 0.0093266202765338 0.0106251681283899 0.00995662656558627 0.00995938592114015 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.826343462062918 0.878846672777299 0.85133595889968 0.851858783075204 0.85
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.840858030404051 0.865224052269735 0.852899124519428 0.852926713591981 0.85
"SeStd vaccine pop" "SeStd vaccine pop" 0.838582358044297 0.892081704429743 0.86351612181172 0.863693988461322 0.85
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.834380606672085 0.858110932635847 0.846181392924501 0.846221626111266 0.85
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998516658471653 0.999063325574732 0.99881127960341 0.998803861768712 0.999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998855499666294 0.999548267085768 0.999179946847978 0.999178461741108 0.999
"SpStd vaccine pop" "SpStd vaccine pop" 0.998704589947469 0.999222304214842 0.998966769185638 0.998963002446159 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998438926664156 0.999140826912877 0.99881715245225 0.998813275396863 0.999
"v.efficacy" "v.efficacy" 0.2760968740209 0.310328405930416 0.292616109363043 0.292561714305107 0.3
