"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0566566962397939 0.0637360484164175 0.0600859029848958 0.0601301808345975 0.06 90000 0.9998 "300+/1000-"
"Low prevalence pop" "Low prevalence pop" 0.00844130031050621 0.0109007479784794 0.00961245106844639 0.00963295706637816 0.01 90000 0.9998 "300+/1000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.668587716027524 0.735725530460562 0.702581601315281 0.702805639762165 0.7 90000 0.9998 "300+/1000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.671280883635685 0.727943466490784 0.69844855511517 0.698507345045592 0.7 90000 0.9998 "300+/1000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.695263744450281 0.760493691987272 0.728721813985702 0.728967982343857 0.7 90000 0.9998 "300+/1000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.669265259371722 0.720816798673957 0.695856071730018 0.695909039137227 0.7 90000 0.9998 "300+/1000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999560443175846 0.999999964285173 0.999881272707632 0.999842777143197 0.9998 90000 0.9998 "300+/1000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.999457668814356 0.99999989919276 0.999853765580527 0.999805460443617 0.9998 90000 0.9998 "300+/1000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999460346975088 0.999999978384116 0.99983309593146 0.999791391713281 0.9998 90000 0.9998 "300+/1000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998969094699546 0.999963176205678 0.999527012244675 0.999487491100286 0.9998 90000 0.9998 "300+/1000-"
"v.efficacy" "v.efficacy" 0.51278983151292 0.622836106498986 0.565393940398691 0.566206033400627 0.6 90000 0.9998 "300+/1000-"
