"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0516437424064636 0.0608448560384422 0.0560501168270425 0.056080816478554 0.06 50000 0.9999 "300+/1000-"
"Low prevalence pop" "Low prevalence pop" 0.00759075110654598 0.0107356993437446 0.00908130210277635 0.00910716096150169 0.01 50000 0.9999 "300+/1000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.672848861601679 0.753869313098856 0.713742514881782 0.713486797230882 0.7 50000 0.9999 "300+/1000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.671712241949478 0.746357177139668 0.708976341642248 0.70886889374868 0.7 50000 0.9999 "300+/1000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.683095990186782 0.767516223695901 0.724367970814037 0.724579760632123 0.7 50000 0.9999 "300+/1000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.634944664924694 0.709981778752544 0.673364503367904 0.673181121264117 0.7 50000 0.9999 "300+/1000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999104644441282 0.999999934891424 0.999672378546332 0.999623170842742 0.9999 50000 0.9999 "300+/1000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.998818151864903 0.999995627022335 0.999494651930736 0.999440699116929 0.9999 50000 0.9999 "300+/1000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.999325779462977 0.999999955802451 0.999809587896774 0.999752223686895 0.9999 50000 0.9999 "300+/1000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998938813316029 0.999999943850535 0.999675222340278 0.999593729073727 0.9999 50000 0.9999 "300+/1000-"
"v.efficacy" "v.efficacy" 0.507403770836505 0.659760868628051 0.579730668068039 0.581753295046254 0.6 50000 0.9999 "300+/1000-"
