"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0535564457264594 0.067201384608336 0.0606955294747045 0.0606517699749768 0.06 30000 0.999 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00806843649660818 0.0135393177575037 0.0106451473989156 0.010693723145397 0.01 30000 0.999 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.628590369491224 0.770825453557449 0.696284912074219 0.696951123210608 0.7 30000 0.999 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.667878491032384 0.778659214622683 0.720002262011997 0.720413369686551 0.7 30000 0.999 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.601051293503789 0.752123373575143 0.671100697066451 0.672145272350696 0.7 30000 0.999 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.650796553158721 0.766477317330859 0.707290278269207 0.707735352953544 0.7 30000 0.999 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.997857650640468 0.999999844080653 0.999047354920911 0.998986978845885 0.999 30000 0.999 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997087795925213 0.999999848483829 0.998637464460473 0.998563387033464 0.999 30000 0.999 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998468057271203 0.999999471790141 0.999524204932435 0.999403512520114 0.999 30000 0.999 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997644848181054 0.999999893323456 0.999014761947206 0.998922730424392 0.999 30000 0.999 "30+/100-"
"v.efficacy" "v.efficacy" 0.489241813935565 0.727040254301285 0.60250085416664 0.605748395553103 0.6 30000 0.999 "30+/100-"
