"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0532117793954475 0.0626000067226988 0.0580178081096039 0.0580050657683771 0.06 70000 0.9994 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00750148779155757 0.0110398369962694 0.00923460511097297 0.00924847527104545 0.01 70000 0.9994 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.680730582967798 0.783249222246029 0.732971867878868 0.733362298015135 0.7 70000 0.9994 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.671536497110796 0.747664519110849 0.709737316115782 0.710175811309504 0.7 70000 0.9994 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.677600019505731 0.774226699684125 0.722450436676468 0.723548281540351 0.7 70000 0.9994 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.698585672923145 0.782027002474162 0.740719961973175 0.741177924147387 0.7 70000 0.9994 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.99873266493653 0.999999720390398 0.999427420836398 0.999390452554171 0.9994 70000 0.9994 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997323195280439 0.999558904575107 0.998458665537332 0.998449308396838 0.9994 70000 0.9994 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998292106219338 0.999863006732373 0.999098111772464 0.999070535832963 0.9994 70000 0.9994 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.998121359677978 0.999998399355906 0.999062621069562 0.999028443941569 0.9994 70000 0.9994 "30+/100-"
"v.efficacy" "v.efficacy" 0.51872096395128 0.679589095031904 0.595455390201743 0.597408131563849 0.6 70000 0.9994 "30+/100-"
