"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0581214324213012 0.0664849739872314 0.062304476951902 0.0623265021656584 0.06 1e+05 0.999 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00888958145499447 0.0122597938235524 0.01058268580119 0.0106028752159348 0.01 1e+05 0.999 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.648250385317447 0.741521713915291 0.695844331644545 0.696391689924227 0.7 1e+05 0.999 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.629909195243682 0.694456301691805 0.662548295096472 0.663141193136403 0.7 1e+05 0.999 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.63223874047217 0.717355250186063 0.675977670076102 0.675582656457214 0.7 1e+05 0.999 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.659453858004985 0.735608546825931 0.697348418226148 0.697317678780824 0.7 1e+05 0.999 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998812124042596 0.999999062122317 0.999422657408077 0.999393255121951 0.999 1e+05 0.999 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997319543976121 0.999341044661031 0.99830291674517 0.998296555885948 0.999 1e+05 0.999 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998031800739642 0.99952963401276 0.998773003758007 0.998771894112435 0.999 1e+05 0.999 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.99856296000248 0.999999685274893 0.999324025005557 0.999292279534326 0.999 1e+05 0.999 "30+/100-"
"v.efficacy" "v.efficacy" 0.492917816891892 0.621028017055107 0.554922602366167 0.555853284421495 0.6 1e+05 0.999 "30+/100-"
