"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0559912496737312 0.0651996162614064 0.0605294213382211 0.060520368472868 0.06 60000 0.9992 "30+/100-"
"Low prevalence pop" "Low prevalence pop" 0.00736447761975431 0.0108286831691162 0.0090896768452732 0.00909615237316676 0.01 60000 0.9992 "30+/100-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.643377824695125 0.755622666386559 0.698228501238064 0.698538803079096 0.7 60000 0.9992 "30+/100-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.64387901690013 0.714647640927105 0.678823692943401 0.67888995703352 0.7 60000 0.9992 "30+/100-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.655822205285152 0.772954627505767 0.714034849626444 0.71375500002107 0.7 60000 0.9992 "30+/100-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.672896903535132 0.762095342339002 0.716762792168969 0.717384522201716 0.7 60000 0.9992 "30+/100-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.997428688516923 0.999302650211602 0.998384850775301 0.998370039867576 0.9992 60000 0.9992 "30+/100-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.997669477692288 0.999818771952925 0.998799273289223 0.998770692958503 0.9992 60000 0.9992 "30+/100-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998360096005246 0.999984314911212 0.99918953600817 0.999156973048397 0.9992 60000 0.9992 "30+/100-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999056673839774 0.999999926665048 0.999709589459328 0.999636112045206 0.9992 60000 0.9992 "30+/100-"
"v.efficacy" "v.efficacy" 0.506972895746142 0.677051453318833 0.584876192668586 0.586176519298636 0.6 60000 0.9992 "30+/100-"
