"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0573241166437919 0.065579967791185 0.0613266610249944 0.0613399009498798 0.06 60000 0.9999 "1500+/5000-"
"Low prevalence pop" "Low prevalence pop" 0.00902817009958014 0.0120516639711243 0.0105733615631775 0.0105834579168916 0.01 60000 0.9999 "1500+/5000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.686788765446043 0.739964702174031 0.714120508112933 0.713804633062941 0.7 60000 0.9999 "1500+/5000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.690526679212083 0.737344579382993 0.715345620158178 0.715348031818988 0.7 60000 0.9999 "1500+/5000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.678505653225673 0.731110411405069 0.705492813662612 0.70575988431947 0.7 60000 0.9999 "1500+/5000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.714895360213529 0.76019819632353 0.735805380761922 0.735789191901569 0.7 60000 0.9999 "1500+/5000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999261399217219 0.999999939446122 0.999745766819882 0.999700005992665 0.9999 60000 0.9999 "1500+/5000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.999482078684336 0.999999994025101 0.999859280184918 0.999813528885763 0.9999 60000 0.9999 "1500+/5000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.9991731875414 0.99999998709697 0.999685050059901 0.999642925561932 0.9999 60000 0.9999 "1500+/5000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999317982511748 0.999999998884313 0.999803063241969 0.999748183996184 0.9999 60000 0.9999 "1500+/5000-"
"v.efficacy" "v.efficacy" 0.483742915304977 0.612122856918345 0.547994209449167 0.548425368810116 0.6 60000 0.9999 "1500+/5000-"
