"variable" "lower" "upper" "median" "mean" "True.value" "samplesize" "spDIVA.vacc" "gold.standard"
"High prevalence pop" "High prevalence pop" 0.0513352086146924 0.0624679849770895 0.0567489668473261 0.0567365323373241 0.06 30000 0.9995 "1500+/5000-"
"Low prevalence pop" "Low prevalence pop" 0.0087615410731408 0.0131161417935406 0.0108517023589713 0.0108942557863985 0.01 30000 0.9995 "1500+/5000-"
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.687802071589704 0.745972177992404 0.71690648285987 0.716525677271587 0.7 30000 0.9995 "1500+/5000-"
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.675649745141789 0.730288911057524 0.701601890079251 0.701388945394693 0.7 30000 0.9995 "1500+/5000-"
"SeStd vaccine pop" "SeStd vaccine pop" 0.671701323700397 0.731960653661346 0.70371788289142 0.703548010690927 0.7 30000 0.9995 "1500+/5000-"
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.687559150330194 0.74128244055007 0.713492589496951 0.713447736356625 0.7 30000 0.9995 "1500+/5000-"
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.998687301890719 0.999952699276993 0.999411638992147 0.999361996956229 0.9995 30000 0.9995 "1500+/5000-"
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.999082308174322 0.99999992988906 0.999747079672071 0.999668456080934 0.9995 30000 0.9995 "1500+/5000-"
"SpStd vaccine pop" "SpStd vaccine pop" 0.998406673637598 0.999725289412046 0.999125023291001 0.999089403802323 0.9995 30000 0.9995 "1500+/5000-"
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999131398594336 0.999999804225626 0.999762317436072 0.999686347806683 0.9995 30000 0.9995 "1500+/5000-"
"v.efficacy" "v.efficacy" 0.501468187984846 0.701668971739859 0.593862400759708 0.597215197697032 0.6 30000 0.9995 "1500+/5000-"
