"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0574933755861196 0.0604328225685837 0.0590381697841657 0.0590322607001543 0.06
"Low prevalence pop" "Low prevalence pop" 0.00914152578293166 0.0103514543157596 0.00972302687284015 0.00972528070129738 0.01
"SeDIVA vaccine pop" "SeDIVA vaccine pop" 0.83980462629024 0.878528154479296 0.859714088130847 0.859531278817162 0.85
"SeDIVA nonvaccine pop" "SeDIVA nonvaccine pop" 0.844106807634919 0.867055345233438 0.854969369308396 0.854982042643864 0.85
"SeStd vaccine pop" "SeStd vaccine pop" 0.830976554831161 0.872399176019684 0.851901167300256 0.851763085451822 0.85
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.836970857636232 0.859691174012849 0.847908966365996 0.847911205871234 0.85
"SpDIVA vaccine pop" "SpDIVA vaccine pop" 0.999586392145085 0.999936364677778 0.999771861742677 0.999769169300757 0.9999
"SpDIVA nonvaccine pop" "SpDIVA nonvaccine pop" 0.999613065592398 1.00016909739427 0.99990087999769 0.999897159689133 0.9999
"SpStd vaccine pop" "SpStd vaccine pop" 0.999821138839833 1.00009573572204 0.999956286592711 0.999953926292631 0.9999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.999344614104094 0.999932692956967 0.999641752886259 0.9996396382697 0.9999
"v.efficacy" "v.efficacy" 0.281328068253822 0.312362651146601 0.296522366395185 0.296664774301348 0.3
