"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0577195655754861 0.0661650414585188 0.0618986878971875 0.06187830191776 0.06
"Low prevalence pop" "Low prevalence pop" 0.00795489180278578 0.0111237312104195 0.0095097254258516 0.0095422872645366 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.631572998489799 0.71821439547759 0.676023327974087 0.676254463802568 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.643943050346111 0.710164758869236 0.6781801442662 0.678341757794438 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.64586560353316 0.738157363550529 0.690746283594742 0.691067938208409 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.658438724716218 0.732748826164756 0.694109052810806 0.694375978773826 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.997999116542372 0.999525664310753 0.998773878962065 0.998772421455573 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997509059763042 0.999458074844573 0.998541268790394 0.998527648422215 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.998761057282965 0.999994603659943 0.999382893735677 0.999358820743766 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.998402387847788 0.99999378888787 0.999153348739698 0.999138589937047 0.999
"v.efficacy" "v.efficacy" 0.540840409578136 0.680825469167279 0.608540899300643 0.609427305497855 0.6
