"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0600135199335671 0.0679807287494573 0.0638294089821106 0.0638628042468865 0.06
"Low prevalence pop" "Low prevalence pop" 0.00982675454642102 0.0132555010074281 0.0115277831303324 0.0115590882780755 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.688489776862472 0.781564196086829 0.734772453435444 0.735169715372824 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.628915522247723 0.690870534429443 0.659894096164128 0.660173667703756 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.663490841723328 0.755794463613281 0.708633554962492 0.708205167482594 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.657082137660326 0.728904840305438 0.692301272802863 0.692243818077966 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.998238896269874 0.999749014806287 0.998994480083928 0.998993148637144 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.997798391597397 0.999801837269563 0.998747064063965 0.998734509233048 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.998030349328992 0.999549682189969 0.998819593858126 0.998806327836146 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.998900382926056 0.999999809216666 0.999610152704859 0.999547551472654 0.999
"v.efficacy" "v.efficacy" 0.47451118268698 0.597366060036946 0.534764234102289 0.535422730962875 0.6
