"variable" "lower" "upper" "median" "mean" "True.value"
"High prevalence pop" "High prevalence pop" 0.0370870963330588 0.0660948852108563 0.0490661922140572 0.0496437447870126 0.06
"Low prevalence pop" "Low prevalence pop" 0.00385583004562142 0.0137961816935469 0.00812585853182835 0.00845182470112989 0.01
"SeStd vaccine pop" "SeStd vaccine pop" 0.551785204167252 0.911524845354349 0.707957369358739 0.713848909090846 0.7
"SeStd nonvaccine pop" "SeStd nonvaccine pop" 0.6069325005464 0.97538732827054 0.776667427044782 0.778279216953413 0.7
"SeViva vaccine pop" "SeViva vaccine pop" 0.614805231593181 0.941454603379053 0.776549214928809 0.77727199958229 0.7
"SeViva nonvaccine pop" "SeViva nonvaccine pop" 0.500040453586428 0.717452256843646 0.592663567995597 0.600582559139041 0.7
"SpStd vaccine pop" "SpStd vaccine pop" 0.995128550542142 0.999998153417427 0.998299182247135 0.997987354369718 0.999
"SpStd nonvaccine pop" "SpStd nonvaccine pop" 0.99449974113182 0.999999315244247 0.998165100160537 0.997772004348583 0.999
"SpViva vaccine pop" "SpViva vaccine pop" 0.992798038697295 0.999999227993165 0.997116232967543 0.996748849698004 0.999
"SpViva nonvaccine pop" "SpViva nonvaccine pop" 0.990963241919542 0.999411579777597 0.995405845108235 0.995295679159764 0.999
"v.efficacy" "v.efficacy" 0.568640339551326 0.999821231771224 0.805434370435073 0.794885964989565 0.6
